,model,cost,modes
0,sentence-transformers/average_word_embeddings_glove.6B.300d,971107.0,1
1,sentence-transformers/average_word_embeddings_glove.6B.300d,945548.75,2
2,sentence-transformers/average_word_embeddings_glove.6B.300d,945062.375,3
3,sentence-transformers/average_word_embeddings_glove.6B.300d,1012565.375,4
4,sentence-transformers/average_word_embeddings_glove.6B.300d,976130.0625,5
5,sentence-transformers/average_word_embeddings_glove.6B.300d,1007788.75,6
6,sentence-transformers/average_word_embeddings_glove.6B.300d,975606.5,7
7,sentence-transformers/average_word_embeddings_glove.6B.300d,970784.0,8
8,llmrails/ember-v1,33442918.0,1
9,llmrails/ember-v1,33440056.0,2
10,llmrails/ember-v1,33505616.0,3
11,llmrails/ember-v1,33573260.0,4
12,llmrails/ember-v1,33441128.0,5
13,llmrails/ember-v1,33625384.0,6
14,llmrails/ember-v1,33625352.0,7
15,llmrails/ember-v1,33440256.0,8
16,sentence-transformers/msmarco-bert-co-condensor,5021032.0,1
17,sentence-transformers/msmarco-bert-co-condensor,5025291.0,2
18,sentence-transformers/msmarco-bert-co-condensor,5021960.5,3
19,sentence-transformers/msmarco-bert-co-condensor,5021087.0,4
20,sentence-transformers/msmarco-bert-co-condensor,5022352.5,5
21,sentence-transformers/msmarco-bert-co-condensor,5021052.0,6
22,sentence-transformers/msmarco-bert-co-condensor,5027339.0,7
23,sentence-transformers/msmarco-bert-co-condensor,5023125.0,8
24,google/gemma-7b,1544976512.0,1
25,google/gemma-7b,1543049472.0,2
26,google/gemma-7b,1542376448.0,3
27,google/gemma-7b,1542439808.0,4
28,google/gemma-7b,1542339840.0,5
29,google/gemma-7b,1565885696.0,6
30,google/gemma-7b,1542849152.0,7
31,google/gemma-7b,1547383808.0,8
32,sentence-transformers/sentence-t5-xl,60848.34375,1
33,sentence-transformers/sentence-t5-xl,60869.24609375,2
34,sentence-transformers/sentence-t5-xl,60848.51171875,3
35,sentence-transformers/sentence-t5-xl,60853.4921875,4
36,sentence-transformers/sentence-t5-xl,61674.55859375,5
37,sentence-transformers/sentence-t5-xl,61694.8828125,6
38,sentence-transformers/sentence-t5-xl,60849.1015625,7
39,sentence-transformers/sentence-t5-xl,60853.82421875,8
40,sentence-transformers/gtr-t5-large,70455.453125,1
41,sentence-transformers/gtr-t5-large,70451.890625,2
42,sentence-transformers/gtr-t5-large,70453.21875,3
43,sentence-transformers/gtr-t5-large,70451.78125,4
44,sentence-transformers/gtr-t5-large,70476.5,5
45,sentence-transformers/gtr-t5-large,70452.15625,6
46,sentence-transformers/gtr-t5-large,70455.0625,7
47,sentence-transformers/gtr-t5-large,70459.2734375,8
48,BAAI/bge-base-en-v1.5,90919.8046875,1
49,BAAI/bge-base-en-v1.5,91234.1328125,2
50,BAAI/bge-base-en-v1.5,90921.0390625,3
51,BAAI/bge-base-en-v1.5,91233.984375,4
52,BAAI/bge-base-en-v1.5,90971.609375,5
53,BAAI/bge-base-en-v1.5,91231.6015625,6
54,BAAI/bge-base-en-v1.5,90918.5,7
55,BAAI/bge-base-en-v1.5,91233.7578125,8
56,izhx/udever-bloom-560m,4943380992.0,1
57,izhx/udever-bloom-560m,4901371904.0,2
58,izhx/udever-bloom-560m,4865230848.0,3
59,izhx/udever-bloom-560m,4921705472.0,4
60,izhx/udever-bloom-560m,4856820224.0,5
61,izhx/udever-bloom-560m,4857197568.0,6
62,izhx/udever-bloom-560m,4863860736.0,7
63,izhx/udever-bloom-560m,4875466752.0,8
64,NousResearch/Llama-2-7b-hf,227392832.0,1
65,NousResearch/Llama-2-7b-hf,227349440.0,2
66,NousResearch/Llama-2-7b-hf,227367328.0,3
67,NousResearch/Llama-2-7b-hf,227472224.0,4
68,NousResearch/Llama-2-7b-hf,227359584.0,5
69,NousResearch/Llama-2-7b-hf,227381344.0,6
70,NousResearch/Llama-2-7b-hf,227378144.0,7
71,NousResearch/Llama-2-7b-hf,227572704.0,8
72,google/gemma-7b-it,1109185024.0,1
73,google/gemma-7b-it,1109525632.0,2
74,google/gemma-7b-it,1108908928.0,3
75,google/gemma-7b-it,1109036416.0,4
76,google/gemma-7b-it,1109212160.0,5
77,google/gemma-7b-it,1108845184.0,6
78,google/gemma-7b-it,1109282176.0,7
79,google/gemma-7b-it,1109123584.0,8
80,croissantllm/CroissantCool,108456616.0,1
81,croissantllm/CroissantCool,108446832.0,2
82,croissantllm/CroissantCool,108477816.0,3
83,croissantllm/CroissantCool,108451392.0,4
84,croissantllm/CroissantCool,108471008.0,5
85,croissantllm/CroissantCool,108442680.0,6
86,croissantllm/CroissantCool,108446392.0,7
87,croissantllm/CroissantCool,108569744.0,8
88,avsolatorio/GIST-Embedding-v0,69868.875,1
89,avsolatorio/GIST-Embedding-v0,69862.5234375,2
90,avsolatorio/GIST-Embedding-v0,69859.953125,3
91,avsolatorio/GIST-Embedding-v0,69864.125,4
92,avsolatorio/GIST-Embedding-v0,69860.328125,5
93,avsolatorio/GIST-Embedding-v0,70490.265625,6
94,avsolatorio/GIST-Embedding-v0,70513.3359375,7
95,avsolatorio/GIST-Embedding-v0,69860.0078125,8
96,jamesgpt1/sf_model_e5,107207.6796875,1
97,jamesgpt1/sf_model_e5,107206.0,2
98,jamesgpt1/sf_model_e5,107281.375,3
99,jamesgpt1/sf_model_e5,107409.953125,4
100,jamesgpt1/sf_model_e5,107222.328125,5
101,jamesgpt1/sf_model_e5,107291.484375,6
102,jamesgpt1/sf_model_e5,107410.640625,7
103,jamesgpt1/sf_model_e5,107423.828125,8
104,Salesforce/SFR-Embedding-Mistral,6946289664.0,1
105,Salesforce/SFR-Embedding-Mistral,6936735232.0,2
106,Salesforce/SFR-Embedding-Mistral,6939411456.0,3
107,Salesforce/SFR-Embedding-Mistral,7228434944.0,4
108,Salesforce/SFR-Embedding-Mistral,6937632768.0,5
109,Salesforce/SFR-Embedding-Mistral,6938908672.0,6
110,Salesforce/SFR-Embedding-Mistral,6938294272.0,7
111,Salesforce/SFR-Embedding-Mistral,6937374720.0,8
112,infgrad/stella-base-en-v2,176494.0,1
113,infgrad/stella-base-en-v2,178445.53125,2
114,infgrad/stella-base-en-v2,176494.25,3
115,infgrad/stella-base-en-v2,178437.4375,4
116,infgrad/stella-base-en-v2,176499.671875,5
117,infgrad/stella-base-en-v2,176497.140625,6
118,infgrad/stella-base-en-v2,176548.796875,7
119,infgrad/stella-base-en-v2,176500.078125,8
120,princeton-nlp/sup-simcse-bert-base-uncased,8114197.0,1
121,princeton-nlp/sup-simcse-bert-base-uncased,8113242.0,2
122,princeton-nlp/sup-simcse-bert-base-uncased,8113661.5,3
123,princeton-nlp/sup-simcse-bert-base-uncased,8113439.0,4
124,princeton-nlp/sup-simcse-bert-base-uncased,8298319.5,5
125,princeton-nlp/sup-simcse-bert-base-uncased,8113568.0,6
126,princeton-nlp/sup-simcse-bert-base-uncased,8113421.0,7
127,princeton-nlp/sup-simcse-bert-base-uncased,8113911.0,8
128,sentence-transformers/average_word_embeddings_komninos,439719.5,1
129,sentence-transformers/average_word_embeddings_komninos,410279.4375,2
130,sentence-transformers/average_word_embeddings_komninos,439674.1875,3
131,sentence-transformers/average_word_embeddings_komninos,410415.875,4
132,sentence-transformers/average_word_embeddings_komninos,411249.84375,5
133,sentence-transformers/average_word_embeddings_komninos,410281.96875,6
134,sentence-transformers/average_word_embeddings_komninos,439781.0,7
