,model,bic,aic,modes
0,sentence-transformers/average_word_embeddings_glove.6B.300d,-7213581.613444716,-7869008.763597723,2
1,sentence-transformers/average_word_embeddings_glove.6B.300d,-6753308.2342266515,-8064169.744873038,4
2,sentence-transformers/average_word_embeddings_glove.6B.300d,-6141944.820908841,-8108240.6920486055,6
3,sentence-transformers/average_word_embeddings_glove.6B.300d,-5428864.420833172,-8050594.652466316,8
4,sentence-transformers/average_word_embeddings_glove.6B.300d,-4803036.503369559,-8080201.095496081,10
5,sentence-transformers/average_word_embeddings_glove.6B.300d,-4174945.8350004256,-8107544.7876203265,12
6,llmrails/ember-v1,4262809.05983527,-3319938.1820131093,2
7,llmrails/ember-v1,11768459.814850766,-3397041.879186365,4
8,llmrails/ember-v1,17786471.32248825,-4961784.823737636,6
9,llmrails/ember-v1,23697047.396593027,-6633963.2018216085,8
10,llmrails/ember-v1,28013158.652403895,-9900606.398199495,10
11,llmrails/ember-v1,27192212.33585524,-18304307.166936897,12
12,sentence-transformers/msmarco-bert-co-condensor,-13276726.197853895,-17546177.83197178,2
13,sentence-transformers/msmarco-bert-co-condensor,-9389136.840585737,-17928047.319161877,4
14,sentence-transformers/msmarco-bert-co-condensor,-5733634.650866054,-18542003.973900452,6
15,sentence-transformers/msmarco-bert-co-condensor,-2094704.118554484,-19172532.28604714,8
16,sentence-transformers/msmarco-bert-co-condensor,1706503.4509259984,-19640783.56102491,10
17,sentence-transformers/msmarco-bert-co-condensor,4644841.215245079,-20971904.641164087,12
18,google/gemma-7b,79110567.64778419,10998801.14760801,2
19,google/gemma-7b,102787387.98624805,-33436152.224444687,4
20,google/gemma-7b,121990701.98110569,-82344611.94010359,6
21,google/gemma-7b,165985380.56881702,-106461707.06290883,8
22,google/gemma-7b,228014629.35130984,-112544231.99093252,10
23,google/gemma-7b,292870168.7950514,-115800466.25770754,12
24,sentence-transformers/sentence-t5-xl,-45864824.262315616,-50134275.8964335,2
25,sentence-transformers/sentence-t5-xl,-41711181.58617526,-50250092.0647514,4
26,sentence-transformers/sentence-t5-xl,-37316460.74075077,-50124830.063785166,6
27,sentence-transformers/sentence-t5-xl,-32911295.303013887,-49989123.47050654,8
28,sentence-transformers/sentence-t5-xl,-28749407.791358016,-50096694.80330893,10
29,sentence-transformers/sentence-t5-xl,-24481091.802568894,-50097837.65897806,12
30,sentence-transformers/gtr-t5-large,-43241212.07783013,-47510663.711948015,2
31,sentence-transformers/gtr-t5-large,-38980367.66387099,-47519278.14244713,4
32,sentence-transformers/gtr-t5-large,-35035859.067293964,-47844228.39032836,6
33,sentence-transformers/gtr-t5-large,-30655219.864041436,-47733048.03153409,8
34,sentence-transformers/gtr-t5-large,-26119788.870339945,-47467075.882290855,10
35,sentence-transformers/gtr-t5-large,-22251038.669777703,-47867784.52618687,12
36,BAAI/bge-base-en-v1.5,-39631629.14847552,-43901080.78259341,2
37,BAAI/bge-base-en-v1.5,-35988750.58139988,-44527661.05997602,4
38,BAAI/bge-base-en-v1.5,-31843101.07426761,-44651470.39730201,6
